Flight{carNumber=52618410, invNumber='76552359', sourceStation='Тараз', destStation='Актобе II', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1704,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52675147, invNumber='ЭЛ278267', sourceStation='Алматы 2', destStation='Уральск', carLoadIdleDays=0, carUnloadIdleDays=null, distance =2720,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52675170, invNumber='ЭЛ273824', sourceStation='Отар', destStation='Жинишке', carLoadIdleDays=0, carUnloadIdleDays=null, distance =2105,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52136025, invNumber='23364852', sourceStation='Центролит', destStation='Сороковая', carLoadIdleDays=0, carUnloadIdleDays=null, distance =3432,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29027380, invNumber='З0435877', sourceStation='Жинишке', destStation='Маарду (эксп. через порт Мууга)', carLoadIdleDays=24, carUnloadIdleDays=null, distance =2907,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29841491, invNumber='З0435878', sourceStation='Жинишке', destStation='Маарду (эксп. через порт Мууга)', carLoadIdleDays=28, carUnloadIdleDays=null, distance =2907,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=54481973, invNumber='ЭФ899338', sourceStation='Рязань II', destStation='Архангельск-Город', carLoadIdleDays=30, carUnloadIdleDays=null, distance =1275,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52636842, invNumber='ЭХ002243', sourceStation='Балабаново', destStation='Ростов-Западный', carLoadIdleDays=36, carUnloadIdleDays=null, distance =1348,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52643681, invNumber='ЭХ003884', sourceStation='Карповская', destStation='Протока', carLoadIdleDays=36, carUnloadIdleDays=null, distance =786,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28838126, invNumber='32840242', sourceStation='Косяковка', destStation='Казыкурт', carLoadIdleDays=27, carUnloadIdleDays=null, distance =2047,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52652526, invNumber='З0435879', sourceStation='Жинишке', destStation='Маарду (эксп. через порт Мууга)', carLoadIdleDays=25, carUnloadIdleDays=null, distance =2907,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28832129, invNumber='ЭФ959112', sourceStation='Полтавская', destStation='Клещиха', carLoadIdleDays=25, carUnloadIdleDays=null, distance =4083,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28075778, invNumber='null', sourceStation='Тернополь', destStation='Харьков-Лиски', carLoadIdleDays=47, carUnloadIdleDays=null, distance =990,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52639531, invNumber='30691622', sourceStation='Достык', destStation='Крейда', carLoadIdleDays=0, carUnloadIdleDays=null, distance =4429,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29525599, invNumber='32841074', sourceStation='Речная', destStation='Жлобин', carLoadIdleDays=40, carUnloadIdleDays=null, distance =2485,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29525896, invNumber='ЭФ960687', sourceStation='Речная', destStation='Ревда', carLoadIdleDays=40, carUnloadIdleDays=null, distance =306,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29510294, invNumber='ЭХ011411', sourceStation='Речная', destStation='Котел', carLoadIdleDays=40, carUnloadIdleDays=null, distance =1977,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52469632, invNumber='Д0501708', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=110, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52629219, invNumber='Д0501709', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=114, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52013018, invNumber='Д0501710', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=110, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52013505, invNumber='Д0501711', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=118, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52470002, invNumber='Д0501700', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=101, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52612298, invNumber='Д0501712', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=105, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52628906, invNumber='Д0501702', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=102, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52628930, invNumber='Д0501624', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=102, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52470846, invNumber='Д0501620', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=100, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52615895, invNumber='Д0501622', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=101, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52624079, invNumber='Д0501617', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=101, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52625605, invNumber='Д0501621', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=100, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28075257, invNumber='32802256', sourceStation='Минск-Сортировочный', destStation='Молодечно', carLoadIdleDays=0, carUnloadIdleDays=2, distance =84,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28078483, invNumber='21218394', sourceStation='Минск-Сортировочный', destStation='Успенская', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1945,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28084820, invNumber='21218394', sourceStation='Минск-Сортировочный', destStation='Успенская', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1945,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28085546, invNumber='21218394', sourceStation='Минск-Сортировочный', destStation='Успенская', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1945,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52135670, invNumber='21218394', sourceStation='Минск-Сортировочный', destStation='Успенская', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1945,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52594926, invNumber='21218394', sourceStation='Минск-Сортировочный', destStation='Успенская', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1945,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52626744, invNumber='21218394', sourceStation='Минск-Сортировочный', destStation='Успенская', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1945,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52636560, invNumber='21218394', sourceStation='Минск-Сортировочный', destStation='Успенская', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1945,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52637170, invNumber='21218394', sourceStation='Минск-Сортировочный', destStation='Успенская', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1945,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=55736219, invNumber='21218394', sourceStation='Минск-Сортировочный', destStation='Успенская', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1945,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52614146, invNumber='ЭФ986758', sourceStation='Ворсма', destStation='Дзержинская-Новая', carLoadIdleDays=24, carUnloadIdleDays=null, distance =1896,00, travelTime =null} --- (превышен лимит времени погрузки)
